Tweets,ID,Date,Likes,RTs,clean_text,sentiment
ولك خمس ذبايح إذا ركبت شركةstc الألياف البصرية للبيت خلال شهر,1.227e+18,2/10/2020 22:27,0.0,0.0,ولك خمس ذبايح اذا ركبت شركهstc الالياف البصريه لبيت خلال شهر,negative
احمد ربك مو stc الالياف لها سنة عطلانة ولا تصلحت احمد ربك بس,1.22258e+18,1/29/2020 18:06,1.0,0.0,احمد ربك مو stc الالياف لها سنه عطلانه ولا تصلحت احمد ربك بس,negative
لحظة مو انت كان عندك stc الألياف أو انا غلطان,1.2149e+18,1/8/2020 13:34,0.0,0.0,لحظه مو انت كان عندك stc الالياف او انا غلطان,neutral
Stc الالياف البصرية,1.21199e+18,12/31/2019 12:45,0.0,0.0,Stc الالياف البصريه,neutral
ما يبي لها STC .. الالياف البصريه,1.21113e+18,12/29/2019 3:49,0.0,0.0,ما يبي لها STC الالياف البصريه,positive
السلام عليكم . الله يعطيك العافية من الواضح ان فيه مشكلة في باقة الداهية iptv مع stc الألياف البصرية . يقطع كثير ومايشتغل . هل فيه حل موجود لهالمشكلة ؟,1.19372e+18,11/11/2019 2:52,0.0,0.0,السلام عليكم اله يعطيك العافيه من الواضح ان فيه مشكله في باقه الداهيه iptv مع stc الالياف البصريه يقطع كثير ومايشتغل هل فيه حل موجود لهالمشكله,negative
٨٠ stc الالياف,1.18524e+18,10/18/2019 16:55,0.0,0.0,٨٠ stc الالياف,neutral
@alosefer دكتور ياسر من فضلك ممكن تذكر لي كرت شبكة داخلي لكمبيوتر مكتبي يكون يدعم تردد ال 5G لمودم STC الألياف البصرية,1.18344e+18,10/13/2019 18:00,0.0,0.0,دكتور ياسر من فضلك مكن تذكر لي كرت شبكه داخلي لكمبيوتر مكتبي يكون يدعم ترد ال 5G لمودم STC الالياف البصريه,neutral
هل يمكن استخدام هذه الميزة على مودم stc الألياف البصرية؟,1.18263e+18,10/11/2019 12:04,0.0,0.0,هل يمكن استخدام هذه الميزه علي مودم stc الالياف البصريه,neutral
معاناة STC الالياف هالاسبوع كميه فصلات وانقطاع للنت بشكل يجيب المرض ... الله يصبرنا عليكم #STC #stc_الياف,1.17752e+18,9/27/2019 10:01,0.0,0.0,معاناه STC الالياف هالاسبوع كميه فصلات وانقطاع لنت بشكل يجيب المرض اله يصبرنا عليكم STC stcالياف,negative
اس تي سي يا زبالة @stc الألياف صلحوها @STC_KSA @STCcare,1.17592e+18,9/22/2019 23:54,0.0,0.0,اس تي سي يا زباله الالياف صلحوها,negative
STC الالياف جدا ممتازه,1.17436e+18,9/18/2019 16:49,0.0,0.0,STC الالياف جدا متازه,positive
احد يعرف كيف افتح بورت لمودم stc الالياف #فورتنايت,1.17436e+18,9/18/2019 16:16,0.0,0.0,احد يعرف كيف افتح بورت لمودم stc الالياف فورتنايت,neutral
من عنده خبره في انترنت stc الالياف البصريه,1.17247e+18,9/13/2019 11:31,0.0,0.0,من عنده خبره في انترنت stc الالياف البصريه,neutral
هل ينفع مع جهاز stc الالياف,1.16754e+18,8/30/2019 20:47,0.0,0.0,هل ينفع مع جهاز stc الالياف,neutral
انا 50 60 stc الالياف,1.16194e+18,8/15/2019 9:59,1.0,0.0,انا 50 60 stc الالياف,neutral
Stc الالياف,1.16194e+18,8/15/2019 9:45,0.0,0.0,Stc الالياف,neutral
STC الالياف,1.1618e+18,8/15/2019 0:34,0.0,0.0,STC الالياف,neutral
متى نشوف حفرية الالياف البصرية @stc #الالياف_البصرية,1.16175e+18,8/14/2019 21:20,0.0,0.0,متي نشوف حفريه الالياف البصريه الاليافالبصريه,neutral
