Tweets,ID,len,Date,Source,Likes,RTs,Location
ولك خمس ذبايح إذا ركبت شركةstc الألياف البصرية للبيت خلال شهر,1.227E+18,,2/10/2020 22:27,yaj_1040,0,0,
احمد ربك مو stc الالياف لها سنة عطلانة ولا تصلحت احمد ربك بس,1.22258E+18,,1/29/2020 18:06,D3adlyTrx,1,0,
لحظة مو انت كان عندك stc الألياف أو انا غلطان ,1.2149E+18,,1/8/2020 13:34,CRKF2T,0,0,
Stc الالياف البصرية,1.21199E+18,,12/31/2019 12:45,_nai6i,0,0,
ما يبي لها STC .. الالياف البصريه,1.21113E+18,,12/29/2019 3:49,YASSER44952756,0,0,
السلام عليكم . الله يعطيك العافية من الواضح ان فيه مشكلة في باقة الداهية iptv مع stc الألياف البصرية . يقطع كثير ومايشتغل . هل فيه حل موجود لهالمشكلة ؟,1.19372E+18,,11/11/2019 2:52,my_003_life,0,0,
٨٠ stc الالياف,1.18524E+18,,10/18/2019 16:55,P0J9x,0,0,
@alosefer دكتور ياسر من فضلك ممكن تذكر لي كرت شبكة داخلي لكمبيوتر مكتبي يكون يدعم تردد ال 5G لمودم STC الألياف البصرية,1.18344E+18,,10/13/2019 18:00,MishariDawlat,0,0,
هل يمكن استخدام هذه الميزة على مودم stc الألياف البصرية؟,1.18263E+18,,10/11/2019 12:04,500Dell,0,0,
معاناة STC الالياف هالاسبوع كميه فصلات وانقطاع للنت بشكل يجيب المرض ... الله يصبرنا عليكم #STC #stc_الياف,1.17752E+18,,9/27/2019 10:01,sho0omy77s,0,0,
اس تي سي يا زبالة @stc الألياف صلحوها @STC_KSA @STCcare,1.17592E+18,,9/22/2019 23:54,mf_r3b,0,0,
STC الالياف جدا ممتازه,1.17436E+18,,9/18/2019 16:49,89ivv,0,0,
احد يعرف كيف افتح بورت لمودم stc الالياف #فورتنايت,1.17436E+18,,9/18/2019 16:16,sul6an_MC,0,0,
من عنده خبره في انترنت stc الالياف البصريه ,1.17247E+18,,9/13/2019 11:31,abudeeboo,0,0,
هل ينفع مع جهاز stc الالياف,1.16754E+18,,8/30/2019 20:47,Sabic73,0,0,
انا 50 60 stc الالياف,1.16194E+18,,8/15/2019 9:59,tarep0980,1,0,
Stc الالياف,1.16194E+18,,8/15/2019 9:45,ghali511,0,0,
STC الالياف,1.1618E+18,,8/15/2019 0:34,Uselesskhaled,0,0,
متى نشوف حفرية الالياف البصرية @stc #الالياف_البصرية,1.16175E+18,,8/14/2019 21:20,a7medxx3,0,0,
STC الالياف البصريه ماشاء الله قوية بلا منازع لدرجه اني تعبت من قوته عيالي مايتحركون من البيت ويرفضون يطلعون لان النت مسفرهم من مكان لمكان يتيوب وسناب وانستقرام نسينا البطئ في النت ويشبك تقريبا اكثر من سبع اشخاص والقوة هي ما تتغير,1.15738E+18,,8/2/2019 20:11,A7ases2011,0,0,
Stc الألياف البصرية على طول انقطاع وبطء,1.15395E+18,,7/24/2019 8:54,dkhawagi,0,1,
الحسنة الوحيدة في STC الألياف البصرية ,1.15373E+18,,7/23/2019 18:26,YLd6r,0,0,
فنيين stc الألياف البصرية صار لهم جمهور والله دنيا #SuperJuniorInKSA,1.14966E+18,,7/12/2019 12:37,jokeriat,0,0,
#NAME?,1.13062E+18,,5/20/2019 23:35,abdullaalsalma1,0,0,
نت stc الالياف صاير زفت نتفلكس مو راضي يفتح ,1.12593E+18,,5/8/2019 1:09,7asanoh5,0,0,
ياشباب.. هل يلزمني الاشتراك في التطبيق برسوم؟؟ علما انني مشترك في احدى باقات stc الالياف البصرية شامل ريسيفر القنوات التلفزيونية ومنها دوري بلس,1.12324E+18,,4/30/2019 15:13,80dfe4cafaa9486,0,0,
انا stc الألياف بس كان الظهر حلو والحين صار زقققق مدري لييييه,1.11825E+18,,4/16/2019 20:13,Meowhri,0,0,
 من الخاص : السلام عليكم... انا من سكان حي الشعله من شهر 3 الماضي شريت بيت وسكنت فيه والى الان ماتم تركيب علب stc الالياف الضوئية... هل في احد نفس حالتي? اغلب البيوت فيها.. وراجعت وstc وكلمتهم ولاحياه لمن تنادي... هل احد عنده علم متى تتركب الالياف للبيوت المتبقيه؟ وشكرا,1.10672E+18,,3/16/2019 1:00,Shula_Forum,0,1,
معليش يا STC الألياف بالواسطه وحتى DSL مايوصل بحجة الكبينه لا تدعم ولافيه خدمة تكشف عن الكباين وإصلاح المشاكل ,1.10094E+18,,2/28/2019 2:20,Hamad_khalifah9,0,0,
الحسنة الوحيدة من STC الالياف البصرية وممتازة,1.08795E+18,,1/23/2019 5:49,Ma4409,2,0,
اخي الكريم هل المودم تبع الstc ينفع يتعمله تشفير ثنائي لزيادة سرعة الاتصال لاني من الجادين وابغى اتعلم منك وادخل الدورة وجزاك الله كل خير علما ان المودم stc الالياف البصريه والمعروف باللون الاسود,1.08566E+18,,1/16/2019 21:49,karto32860,0,0,
امس شفت موقع stc الالياف ٥٠ ميقا صارت ب٣٠٠﷼ ,1.0843E+18,,1/13/2019 4:14,d_i74,0,0,
للاسف ندفع مبالغ للنت بمحافظة خليص والتي تعد فئة ( أ ) كثافة سكانية واتساع عمراني ولم نحصل على الخدمة المطلوبة نرجو الاهتمام من مسؤولي هيئة الاتصالات لوجود ثلاث مشغلين موبايلي وزين وstc #الالياف_مطلب_خليص,1.08372E+18,,1/11/2019 13:38,samilalharbi,1,11,
#الالياف_مطلب_خليص نعاني من اتصالات الانترنت ضعيفة جدا @stc #الالياف_مطلب_خليص,1.0837E+18,,1/11/2019 12:15,ProoClub,0,1,
الحفرية تابعة لشركة STC الألياف البصرية ,1.07764E+18,,12/25/2018 19:01,AyhamDokmak,0,0,
#استفسار ايه رئيكم ياجماعه في الشركات المشغله لstc الالياف البصريه وايه افضل شركه ممكن تشتغل معاها ارجو الافاده من اهل الخبره,1.07582E+18,,12/20/2018 18:45,eginksa,0,0,
انا عندي مشكلة مزمنة مع نت stc الالياف البصرية الـ4G من الجوال يشتغل زي الحلاوة لكن الوايفاي باختبار السرعة (سريع) بس فعلياً بصعوبة يفتح الصور او يشغل فديوهات وطلبت الصيانة اكثر من مرة ومافيه فرق ملحوظ @STCcare,1.07214E+18,,12/10/2018 14:27,ziyad_90,0,0,
Stc الألياف ممتاز عندي الخطوط لو بس ينزلون سعر الطيران الداخلي لأنه صار مبالغ فيه,1.0706E+18,,12/6/2018 8:45,MohdBad_,0,0,
